V01_RESPID,V07_PROVINCE,V08_SEX,V09_RURAL,V16_NUMPEOPLE,V17_PEOPLE18,V20_MARITAL,V21_MTHRTONGUE,V29_RESPEDUC,V30_RESPAGE,V36_TENURE,V43_SOCCLASS,V64_DRINK,V65_DRINK1,V68_DRINK8,V70_DRINKPROB,
120,0,1,0,3,3,1,3,4,31,2,5,1,1,0,2,
121,0,1,0,4,3,2,3,5,41,2,5,1,7,0,2,
122,0,2,0,4,2,2,3,5,24,2,5,1,1,0,1,
123,0,1,0,3,3,3,1,5,28,2,5,1,3,0,1,
124,0,1,0,2,2,2,1,4,34,1,5,1,2,0,1,
125,0,1,0,3,2,2,1,3,20,2,5,1,3,0,1,
126,0,2,0,3,2,2,1,6,47,1,8,1,1,1,1,
127,0,1,0,2,2,2,1,3,55,1,6,2,8,8,1,
128,0,1,0,3,3,2,1,4,56,1,6,1,2,0,2,
129,0,1,0,3,2,1,1,4,39,1,8,1,3,0,1,
130,0,2,0,4,3,1,1,4,18,1,8,1,3,1,1,
131,0,1,0,3,3,1,1,8,23,1,8,1,3,0,2,
132,0,1,0,6,5,1,1,4,20,1,5,1,3,0,1,
133,0,1,0,4,3,1,1,6,19,1,5,1,1,0,1,
134,0,1,0,3,1,1,1,4,15,2,2,2,8,8,2,
135,0,1,0,4,2,2,1,4,28,1,6,1,1,0,1,
136,0,2,0,5,3,2,1,4,46,1,7,1,1,0,2,
137,0,2,0,3,2,1,1,4,18,1,4,1,2,0,1,
138,0,1,0,3,2,2,3,1,52,1,6,1,1,1,1,
139,0,2,0,5,2,2,1,3,38,1,5,1,4,0,1,
140,0,1,0,4,4,2,1,3,44,1,5,1,7,0,2,
141,0,1,0,4,2,2,1,7,29,1,6,1,2,1,1,
142,0,2,0,2,2,2,3,4,23,1,4,1,3,0,2,
143,0,1,0,2,2,1,1,4,27,1,5,1,3,0,2,
144,0,1,1,2,2,1,3,1,70,1,6,1,3,0,2,
145,0,1,1,2,2,2,3,3,72,1,7,2,8,8,2,
146,0,2,1,5,3,1,1,3,16,1,7,1,0,0,1,
147,0,2,1,5,2,1,1,3,15,1,6,2,8,8,2,
148,0,2,1,3,2,2,3,6,30,1,6,1,0,0,1,
149,0,2,1,1,1,3,1,3,71,1,7,2,8,8,2,
150,0,1,1,4,2,2,1,3,33,1,6,1,0,0,1,
151,0,2,2,9,2,2,3,3,32,2,4,1,0,0,2,
